Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
ACS - VHF,V01PSR-PSRG,25K,High,146.9600,146.3600,103.5,103.5,Off
ACS - VHF,V02PSO-PSRG Outp,25K,High,146.9600,146.9600,Off,103.5,Off
ACS - VHF,V03DXC-WW DX Clu,25K,High,147.0000,146.4000,103.5,103.5,Off
ACS - VHF,V04WSE-West Seat,25K,High,145.1300,144.5300,Off,103.5,Off
ACS - VHF,V21652-Simplex C,25K,High,146.5200,146.5200,Off,141.3,Off
ACS - VHF,V22654-Simplex 1,25K,High,146.5400,146.5400,Off,141.3,Off
ACS - VHF,V23656-Simplex 1,25K,High,146.5600,146.5600,Off,141.3,Off
ACS - VHF,V24658-Simplex 1,25K,High,146.5800,146.5800,Off,141.3,Off
ACS - VHF,V25748-Simplex 1,25K,High,147.4800,147.4800,Off,141.3,Off
ACS - VHF,V26752-Simplex 1,25K,High,147.5200,147.5200,Off,141.3,Off
ACS - VHF,V27754-Simplex 1,25K,High,147.5400,147.5400,Off,141.3,Off
ACS - VHF,V28756-Simplex 1,25K,High,147.5600,147.5600,Off,141.3,Off
ACS - VHF,V29758-Simplex 1,25K,High,147.5800,147.5800,Off,141.3,Off
ACS - VHF,V30760-Simplex 1,25K,High,147.6000,147.6000,Off,141.3,Off
ACS - VHF,V41KCA-KC ARES C,25K,High,147.0800,147.6800,103.5,103.5,Off
ACS - VHF,V42SAR-KC SAR/EC,25K,High,145.1100,144.5100,127.3,127.3,Off
ACS - VHF,V43LED-K7LED Rat,25K,High,146.8200,146.2200,103.5,103.5,Off
ACS - VHF,V45BEA-BEARS Tig,25K,High,145.3300,144.7300,179.9,179.9,Off
ACS - VHF,V46MSV-MST VAMC ,25K,High,146.9000,146.3000,103.5,103.5,Off
ACS - VHF,V47BLD-WA EMD Ba,25K,High,147.1400,147.7400,Off,123.0,Off
ACS - VHF,V48BFW-WA EMD Ba,25K,High,147.0600,147.6600,110.9,110.9,Off
ACS - VHF,V51KRK-Kirkland ,25K,High,145.4900,144.8900,Off,103.5,Off
ACS - VHF,V52RED-Redmond V,25K,High,145.3100,144.7100,103.5,103.5,Off
ACS - VHF,V53MRC-Mercer Is,25K,High,147.1600,147.7600,146.2,146.2,Off
ACS - VHF,V54ESF-ESFR VHF,25K,High,147.1000,147.7000,123,123.0,Off
ACS - VHF,V56MPV-Maple Val,25K,High,147.2600,147.8600,103.5,103.5,Off
ACS - VHF,V57KNT-Kent VHF,25K,High,147.3200,147.9200,103.5,103.5,Off
ACS - VHF,V58AUB-Auburn VH,25K,High,147.2400,147.8400,123,123.0,Off
ACS - VHF,V59HLN-Highline ,25K,High,146.6600,146.0600,103.5,103.5,Off
ACS - VHF,V60FDW-Federal W,25K,High,147.0400,147.6400,103.5,103.5,Off
ACS - VHF,V61BTH-Bothell,25K,High,147.3400,147.9400,Off,100.0,Off
ACS - VHF,V71SLY-Snohomish,25K,High,146.7800,146.1800,Off,D172,Off
ACS - VHF,V72SGF-Snohomish,25K,High,146.9250,146.3250,156.7,156.7,Off
ACS - VHF,V73KSD-Kitsap Co,25K,High,145.4300,144.8300,88.5,88.5,Off
ACS - VHF,V74PGR-Pierce Co,25K,High,145.3700,144.7700,Off,136.5,Off
ACS - VHF,V75PCP-Pierce Co,25K,High,145.4700,144.8700,100,100.0,Off
ACS - VHF,V76ISL-Island Co,25K,High,147.2200,147.8200,127.3,127.3,Off
ACS - VHF,V77GRH-Gray's Ha,25K,High,145.3900,144.7900,Off,118.8,Off
ACS - VHF,V78KCR-Kittitas ,25K,High,147.3600,147.9600,Off,131.8,Off
ACS - VHF,V81GLD-WW7RA Gol,25K,High,146.6200,146.0200,103.5,103.5,Off
ACS - VHF,V83SLB-K7SLB Cou,25K,High,146.4750,147.4750,Off,110.9,Off
ACS - VHF,V84SMP-WR7KCR St,25K,High,147.3600,147.9600,Off,141.3,Off
ACS - VHF,V85EBG-WR7KCR El,25K,High,146.7200,146.1200,Off,131.8,Off
ACS - VHF,V86LAR-W7LT Larc,25K,High,146.8400,146.2400,Off,Off,Off
ACS - VHF,V87SIS-3 Sisters,25K,High,147.3000,147.9000,88.5,88.5,Off
ACS - VHF,V88BEL-Belfair,25K,High,145.1700,144.5700,103.5,103.5,Off
ACS - UHF,U01CLM-Columbia ,25K,High,444.5500,449.5500,141.3,141.3,Off
ACS - UHF,U02CLO-Columbia ,25K,High,444.5500,444.5500,Off,141.3,Off
ACS - UHF,U03BH1-Beacon Hi,25K,High,440.5250,445.5250,141.3,141.3,Off
ACS - UHF,U04BH2-Beacon Hi,25K,High,442.3000,447.3000,141.3,141.3,Off
ACS - UHF,U05CH1-Capitol H,25K,High,443.0250,448.0250,141.3,141.3,Off
ACS - UHF,U06CH2-Capitol H,25K,High,442.8750,447.8750,141.3,141.3,Off
ACS - UHF,U07MAG-Magnolia,25K,High,443.4750,448.4750,141.3,141.3,Off
ACS - UHF,U08MPL-Maple Lea,25K,High,443.6500,448.6500,141.3,141.3,Off
ACS - UHF,U09LFP-Lake Fore,25K,High,440.6000,445.6000,141.3,141.3,Off
ACS - UHF,U10QA1-Queen Ann,25K,High,444.7000,449.7000,103.5,103.5,Off
ACS - UHF,U11WSE-West Seat,25K,High,441.8000,446.8000,141.3,141.3,Off
ACS - UHF,U12SSC-South Sea,25K,High,443.3750,448.3750,103.5,103.5,Off
ACS - UHF,U13WCR-Westcrest,25K,High,443.2000,448.2000,141.3,141.3,Off
ACS - UHF,U14QA2-Queen Ann,25K,High,444.4250,449.4250,141.3,141.3,Off
