Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
GMRS / FRS,GMRS-01 462.5625,25K,High,462.5625,462.5625,Off,Off,Off
GMRS / FRS,GMRS-02 462.5875,25K,High,462.5875,462.5875,Off,Off,Off
GMRS / FRS,GMRS-03 462.6125,25K,High,462.6125,462.6125,Off,Off,Off
GMRS / FRS,GMRS-04 462.6375,25K,High,462.6375,462.6375,Off,Off,Off
GMRS / FRS,GMRS-05 462.6625,25K,High,462.6625,462.6625,Off,Off,Off
GMRS / FRS,GMRS-06 462.6875,25K,High,462.6875,462.6875,Off,Off,Off
GMRS / FRS,GMRS-07 462.7125,25K,High,462.7125,462.7125,Off,Off,Off
GMRS / FRS,FRS-08 467.5625,12.5K,Low,467.5625,467.5625,Off,Off,On
GMRS / FRS,FRS-09 467.5875,12.5K,Low,467.5875,467.5875,Off,Off,On
GMRS / FRS,FRS-10 467.6125,12.5K,Low,467.6125,467.6125,Off,Off,On
GMRS / FRS,FRS-11 467.6375,12.5K,Low,467.6375,467.6375,Off,Off,On
GMRS / FRS,FRS-12 467.6625,12.5K,Low,467.663,467.663,Off,Off,On
GMRS / FRS,FRS-13 467.6875,12.5K,Low,467.6875,467.6875,Off,Off,On
GMRS / FRS,FRS-14 467.7125,12.5K,Low,467.7125,467.7125,Off,Off,On
GMRS / FRS,GMRS-15 462.5500,25K,High,462.5500,462.5500,Off,Off,Off
GMRS / FRS,GMRS-16 462.5750,25K,High,462.5750,462.5750,Off,Off,Off
GMRS / FRS,GMRS-17 462.6000,25K,High,462.6000,462.6000,Off,Off,Off
GMRS / FRS,GMRS-18 462.6250,25K,High,462.6250,462.6250,Off,Off,Off
GMRS / FRS,GMRS-19 LineA,25K,High,462.6500,462.6500,Off,Off,Off
GMRS / FRS,GMRS-20 462.6750,25K,High,462.6750,462.6750,Off,Off,Off
GMRS / FRS,GMRS-21 LineA,25K,High,462.7000,462.7000,Off,Off,Off
GMRS / FRS,GMRS-22 462.7250,25K,High,462.7250,462.7250,Off,Off,Off
GMRS / FRS,RP1-WSEA,25K,High,462.5500,457.5500,Off,103.5,Off
GMRS / FRS,RP2-BHIL,25K,High,462.5750,467.5750,Off,103.5,Off
GMRS / FRS,RP3-CAPH,25K,High,462.6000,467.6000,Off,103.5,Off
GMRS / FRS,RP4-4MAG,25K,High,462.6250,467.6250,Off,100.0,Off
GMRS / FRS,RP6-MAPL,25K,High,462.6750,467.6750,Off,141.3,Off
GMRS / FRS,RP4-ETIG,25K,High,462.6250,462.6250,Off,141.3,Off
GMRS / FRS,RP5-OLYM,25K,High,462.6500,467.6500,Off,141.3,Off
GMRS / FRS,RP7-LKFP,25K,High,462.7250,467.7250,Off,141.3,Off
GMRS / FRS,RP7-SNOH,25K,High,462.7250,467.7250,Off,141.3,Off
GMRS / FRS,FRS-01 462.5625,12.5K,Low,462.5625,462.5625,Off,Off,Off
GMRS / FRS,FRS-02 462.5875,12.5K,Low,462.5875,462.5875,Off,Off,Off
GMRS / FRS,FRS-03 462.6125,12.5K,Low,462.6125,462.6125,Off,Off,Off
GMRS / FRS,FRS-04 462.6375,12.5K,Low,462.6375,462.6375,Off,Off,Off
GMRS / FRS,FRS-05 462.6625,12.5K,Low,462.6625,462.6625,Off,Off,Off
GMRS / FRS,FRS-06 462.6875,12.5K,Low,462.6875,462.6875,Off,Off,Off
GMRS / FRS,FRS-07 462.7125,12.5K,Low,462.7125,462.7125,Off,Off,Off
GMRS / FRS,MURS-1 151.820,12.5K,High,151.8200,151.8200,Off,Off,Off
GMRS / FRS,MURS-2 151.880,12.5K,High,151.8800,151.8800,Off,Off,Off
GMRS / FRS,MURS-3 151.940,12.5K,High,151.9400,151.9400,Off,Off,Off
GMRS / FRS,MURS-4 154.570,25K,High,154.5700,154.5700,Off,Off,Off
GMRS / FRS,MURS-5 154.600,25K,High,154.6000,154.6000,Off,Off,Off
GMRS WA RPTR,East Tiger Mtn,25K,High,462.6250,467.6250,141.3,141.3,Off
GMRS WA RPTR,Olympia,25K,High,462.6500,467.6500,Off,141.3,Off
GMRS WA RPTR,Lk Forest Park,25K,High,462.7250,467.7250,141.3,141.3,Off
GMRS WA RPTR,Snohomish,25K,High,462.7250,467.7250,141.3,141.3,Off
GMRS WA RPTR,Auburn Valley GMRS,25K,High,462.7000,467.7000,254.1,254.1,Off
GMRS WA RPTR,Mercer Island,25K,High,462.7000,467.7000,254.1,254.1,Off
GMRS WA RPTR,SeaTac Repeater Assoc. GMRS,25K,High,462.6250,467.6250,141.3,141.3,Off
GMRS WA RPTR,WSCC621,25K,High,462.7000,467.7000,114.8,114.8,Off
GMRS WA RPTR,AI-15,25K,High,462.7250,467.7250,Off,Off,Off
GMRS WA RPTR,AMF462AMBOY,25K,High,462.5500,467.5500,127.3,127.3,Off
GMRS WA RPTR,BUCKLEY REPEATER,25K,High,462.5500,467.5500,123.0,123.0,Off
GMRS WA RPTR,Bellingham 550,25K,High,462.5500,467.5500,151.4,151.4,Off
GMRS WA RPTR,CReady,25K,High,462.6500,467.6500,127.3,127.3,Off
GMRS WA RPTR,Camelot,25K,High,462.6500,467.6500,118.8,118.8,Off
GMRS WA RPTR,Cap Hill 600,25K,High,462.6000,467.6000,141.3,141.3,Off
GMRS WA RPTR,Chandler6000,25K,High,462.6000,467.6000,103.5,103.5,Off
GMRS WA RPTR,Cheney 725,25K,High,462.7250,467.7250,127.3,127.3,Off
GMRS WA RPTR,Colville ERC,25K,High,462.7250,467.7250,100.0,100.0,Off
GMRS WA RPTR,Crego Hill,25K,High,462.6750,467.6750,103.5,103.5,Off
GMRS WA RPTR,Douglas County 575,25K,High,462.5750,467.5750,141.3,141.3,Off
GMRS WA RPTR,Dusk Peak Portable,25K,High,462.5500,467.5500,77.0,77.0,Off
GMRS WA RPTR,EastOly600,25K,High,462.6000,467.6000,141.3,141.3,Off
GMRS WA RPTR,FRS-OTH,25K,High,462.5750,467.5750,67.0,67.0,Off
GMRS WA RPTR,Ferry County South,25K,High,462.6000,467.6000,100.0,100.0,Off
GMRS WA RPTR,INLAND EMPIRE ARBORCREST 625,25K,High,462.6250,467.6250,100.0,100.0,Off
GMRS WA RPTR,INLAND EMPIRE KRELL 675,25K,High,462.6750,467.6750,77.0,77.0,Off
GMRS WA RPTR,Kirae Sero | base725,25K,High,462.7250,467.7250,136.5,136.5,Off
GMRS WA RPTR,Lake Forest Park 725,25K,High,462.7250,467.7250,141.3,141.3,Off
GMRS WA RPTR,Liberty Lake,25K,High,462.5500,467.5500,77.0,77.0,Off
GMRS WA RPTR,Longview 650,25K,High,462.6500,467.6500,210.7,233.6,Off
GMRS WA RPTR,Loon Lake ERC,25K,High,462.5750,467.5750,141.3,141.3,Off
GMRS WA RPTR,Moses Lake 650,25K,High,462.6500,467.6500,206.5,206.5,Off
GMRS WA RPTR,Mt. Si N'hood Radio Watch,25K,High,462.7000,467.7000,103.5,103.5,Off
GMRS WA RPTR,North Bothell,25K,High,462.5500,467.5500,241.8,88.5,Off
GMRS WA RPTR,North Seattle 675,25K,High,462.6750,467.6750,141.3,141.3,Off
GMRS WA RPTR,OTRP-1,25K,High,462.6250,467.6250,67.0,100.0,Off
GMRS WA RPTR,OTRP-2,25K,High,462.5500,467.5500,67.0,67.0,Off
GMRS WA RPTR,Oly-Comm3,25K,High,462.6250,467.6250,141.3,141.3,Off
GMRS WA RPTR,Onalaska,25K,High,462.7000,467.7000,103.5,88.5,Off
GMRS WA RPTR,Orcas,25K,High,462.5750,467.5750,141.3,100.0,Off
GMRS WA RPTR,PA1,25K,High,462.5750,467.5750,103.5,103.5,Off
GMRS WA RPTR,POCRG 550 DIAMOND LAKE,25K,High,462.5500,467.5500,141.3,141.3,Off
GMRS WA RPTR,POCRG 725 COOKS MT,25K,High,462.7250,467.7250,141.3,141.3,Off
GMRS WA RPTR,Peacock Hill,25K,High,462.6750,467.6750,173.8,173.8,Off
GMRS WA RPTR,Pikes Peak,25K,High,462.6750,467.6750,141.3,141.3,Off
GMRS WA RPTR,Richard Besseys GMRS Repeater,25K,High,462.5500,467.5500,100.0,100.0,Off
GMRS WA RPTR,SMARC Othello,25K,High,462.6750,467.6750,136.5,136.5,Off
GMRS WA RPTR,Shadow,25K,High,462.5500,467.5500,203.5,88.5,Off
GMRS WA RPTR,Skagit Valley 575,25K,High,462.5750,467.5750,210.7,210.7,Off
GMRS WA RPTR,Snohomish 725,25K,High,462.7250,467.7250,141.3,141.3,Off
GMRS WA RPTR,South Whidbey Scachet Head,25K,High,462.6000,467.6000,127.3,127.3,Off
GMRS WA RPTR,Spokane Mountain 650 G-5,25K,High,462.6500,467.6500,206.5,206.5,Off
GMRS WA RPTR,Spokane Valley ERC,25K,High,462.7000,467.7000,141.3,141.3,Off
GMRS WA RPTR,Sunset Hill,25K,High,462.5500,467.5500,67.0,88.5,Off
GMRS WA RPTR,Tapps1,25K,High,462.5750,467.5750,156.7,156.7,Off
GMRS WA RPTR,Timberlake,25K,High,462.7250,467.7250,210.7,210.7,Off
GMRS WA RPTR,WQAG924 - G3,25K,High,462.6000,467.6000,136.5,136.5,Off
GMRS WA RPTR,WQAG924 - G6,25K,High,462.6750,467.6750,206.5,206.5,Off
GMRS WA RPTR,WRAK316 G6,25K,High,462.6750,467.6750,110.9,110.9,Off
GMRS WA RPTR,WRBT599 | 462.650 | 141.3,25K,High,462.6500,467.6500,141.3,141.3,Off
GMRS WA RPTR,WRKR649,25K,High,462.7000,467.7000,136.5,88.5,Off
GMRS WA RPTR,WSCC621,25K,High,462.7000,467.7000,114.8,114.8,Off
GMRS WA RPTR,Wenatchee heights 550,25K,High,462.5500,467.5500,88.5,206.5,Off
GMRS WA RPTR,Windsong,25K,High,462.5500,467.5500,136.5,136.5,Off
GMRS WA RPTR,Windy Ridge Repeater 725,25K,High,462.7250,467.7250,69.3,69.3,Off
GMRS WA RPTR,Yelm,25K,High,462.5750,467.5750,167.9,167.9,Off
GMRS WA RPTR,gardner creek,25K,High,462.5750,467.5750,100.0,100.0,Off
GMRS WA RPTR,P-AI-16,25K,High,462.5750,467.5750,Off,Off,Off
GMRS WA RPTR,P-BCW-GMRS,25K,High,462.5500,467.5500,136.5,136.5,Off
GMRS WA RPTR,P-Bayridge Fire,25K,High,462.6250,467.6250,Off,Off,Off
GMRS WA RPTR,P-Bells Mountain,25K,High,462.6750,467.6750,127.3,127.3,Off
GMRS WA RPTR,P-Cultus Mountain,25K,High,462.5500,467.5500,Off,Off,Off
GMRS WA RPTR,P-Dusk Peak,25K,High,462.5500,467.5500,Off,Off,Off
GMRS WA RPTR,P-Elephant Mtn .550,25K,High,462.5500,467.5500,Off,Off,Off
GMRS WA RPTR,P-Elk Repeater,25K,High,462.6000,467.6000,100.0,100.0,Off
GMRS WA RPTR,P-FTC EMer Net,25K,High,462.6250,467.6250,91.5,91.5,Off
GMRS WA RPTR,P-G2-Wenas,25K,High,462.5750,467.5750,69.3,69.3,Off
GMRS WA RPTR,P-GC GMRS G1,25K,High,462.5500,467.5500,69.3,69.3,Off
GMRS WA RPTR,P-Hillyard 575,25K,High,462.5750,467.5750,Off,Off,Off
GMRS WA RPTR,P-Issaquah CST 675,25K,High,462.6750,467.6750,203.5,203.5,Off
GMRS WA RPTR,P-Issaquah CST 725,25K,High,462.7250,467.7250,171.3,171.3,Off
GMRS WA RPTR,P-KCARC-Gold Mt,25K,High,462.6000,467.6000,Off,Off,Off
GMRS WA RPTR,P-Lake Stevens 462.550,25K,High,462.5500,467.5500,Off,Off,Off
GMRS WA RPTR,P-Lookout 725,25K,High,462.7250,467.7250,Off,Off,Off
GMRS WA RPTR,P-MURDERLUV,25K,High,462.5750,467.5750,Off,Off,Off
GMRS WA RPTR,P-Mt. Pleasant Community,25K,High,462.7250,467.7250,107.2,107.2,Off
GMRS WA RPTR,P-NCCERT,25K,High,462.7250,467.7250,Off,Off,Off
GMRS WA RPTR,P-Oly-Comm1,25K,High,462.6750,467.6750,100.0,100.0,Off
GMRS WA RPTR,P-Oly-Comm2,25K,High,462.6750,467.6750,210.7,210.7,Off
GMRS WA RPTR,P-Pasco Stake Repeater,25K,High,462.6500,467.6500,123.0,123.0,Off
GMRS WA RPTR,P-Pegasus 1,25K,High,462.6500,467.6500,Off,Off,Off
GMRS WA RPTR,P-Prosser/Rattlesnake,25K,High,462.7250,467.7250,Off,Off,Off
GMRS WA RPTR,P-Prune Hill,25K,High,462.7250,467.7250,Off,Off,Off
GMRS WA RPTR,P-RIS 700,25K,High,462.7000,467.7000,100.0,88.5,Off
GMRS WA RPTR,P-San Juan 600,25K,High,462.6000,467.6000,141.3,141.3,Off
GMRS WA RPTR,P-Satus G6,25K,High,462.6750,467.6750,Off,Off,Off
GMRS WA RPTR,P-Selah G5,25K,High,462.6500,467.6500,69.3,69.3,Off
GMRS WA RPTR,P-Shorline,25K,High,462.6000,467.6000,Off,Off,Off
GMRS WA RPTR,P-Sumas 675,25K,High,462.6750,467.6750,114.8,114.8,Off
GMRS WA RPTR,P-Tampico G3,25K,High,462.6000,467.6000,Off,Off,Off
GMRS WA RPTR,P-Trilogy 575 Repeater,25K,High,462.5750,467.5750,123.0,88.5,Off
GMRS WA RPTR,P-Trilogy 600 Redmond,25K,High,462.6000,467.6000,123.0,123.0,Off
GMRS WA RPTR,P-Woodland 600,25K,High,462.6000,467.6000,Off,Off,Off
GMRS WA RPTR,P-Yakima G7,25K,High,462.7000,467.7000,141.3,141.3,Off
GMRS ID RPTR,20-8 Communicate,25K,High,462.6750,467.6750,88.5,88.5,Off
GMRS ID RPTR,Adhoc-575,25K,High,462.5750,467.5750,100.0,88.5,Off
GMRS ID RPTR,Ammon North 625,25K,High,462.6250,467.6250,141.3,141.3,Off
GMRS ID RPTR,BC-GMRS,25K,High,462.5500,467.5500,146.2,146.2,Off
GMRS ID RPTR,BYU-I GMRS .725,25K,High,462.7250,467.7250,141.3,141.3,Off
GMRS ID RPTR,CRB700,25K,High,462.7000,467.7000,123.0,123.0,Off
GMRS ID RPTR,CalCan 600,25K,High,462.6000,467.6000,67.0,67.0,Off
GMRS ID RPTR,Caribou 625,25K,High,462.6250,467.6250,97.4,97.4,Off
GMRS ID RPTR,Digs,25K,High,462.6500,467.6500,141.3,141.3,Off
GMRS ID RPTR,EXBacon,25K,High,462.5750,467.5750,69.3,69.3,Off
GMRS ID RPTR,Frawley\'s,25K,High,462.6250,467.6250,103.5,103.5,Off
GMRS ID RPTR,GATES550,25K,High,462.5500,467.5500,74.4,74.4,Off
GMRS ID RPTR,GEM 700,25K,High,462.7000,467.7000,250.3,250.3,Off
GMRS ID RPTR,GV650,25K,High,462.6500,467.6500,Off,Off,Off
GMRS ID RPTR,GWHIZ70/650,25K,High,462.6750,467.6750,141.3,141.3,Off
GMRS ID RPTR,Grangeville ERC 675,25K,High,462.6750,467.6750,141.3,141.3,Off
GMRS ID RPTR,Hayden ERC,25K,High,462.7250,467.7250,141.3,141.3,Off
GMRS ID RPTR,Hayden Meteo 625,25K,High,462.6250,467.6250,136.5,136.5,Off
GMRS ID RPTR,ID-GDC 462.5750,25K,High,462.5750,467.5750,Off,Off,Off
GMRS ID RPTR,ID-MDN 462.600,25K,High,462.6750,467.6750,Off,Off,Off
GMRS ID RPTR,IPHAMS-GMRS,25K,High,462.6500,467.6500,136.5,136.5,Off
GMRS ID RPTR,Jake,25K,High,462.6250,467.6250,141.3,141.3,Off
GMRS ID RPTR,Long Mountain 625,25K,High,462.6250,467.6250,141.3,141.3,Off
GMRS ID RPTR,Medics 575,25K,High,462.5750,467.5750,192.8,192.8,Off
GMRS ID RPTR,MoHo675,25K,High,462.6750,467.6750,141.3,141.3,Off
GMRS ID RPTR,Orofino Ahsahka 600,25K,High,462.6000,467.6000,141.3,141.3,Off
GMRS ID RPTR,Orofino Clearwater 650,25K,High,462.6500,467.6500,141.3,141.3,Off
