Channels_pattern,Channels_repl,Zones_pattern,Zones_repl,Contacts_pattern,Contacts_repl
Oregon,OR,Oregon,OR,Oregon,OR
Washington,WA,Washington,WA,Washington,WA
Idaho,ID,Idaho,ID,Idaho,ID
Montana,MT,Montana,MT,Montana,MT
California,CA,California,CA,California,CA
Nevada,NV,Nevada,NV,Nevada,NV
Utah,UT,Utah,UT,Utah,UT
Arizona,AZ,Arizona,AZ,Arizona,AZ
New Mexico,NM,New Mexico,NM,New Mexico,NM
Colorado,CO,Colorado,CO,Colorado,CO
Wyoming,WY,Wyoming,WY,Wyoming,WY
,,BEARS W.Tiger,Seattle/East,,
,,Seattle/Cap Hill,Seattle/PNWDigital,,
