Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
ACS-VHF,V01-PSR,25K,High,146.9600,146.3600,103.5,103.5,Off
ACS-VHF,V02-PSO,25K,High,146.9600,146.9600,Off,103.5,Off
ACS-VHF,V03-DXC,25K,High,147.0000,146.4000,103.5,103.5,Off
ACS-VHF,V04-WSE,25K,High,145.1300,144.5300,Off,103.5,Off
ACS-VHF,V21-652,25K,High,146.5200,146.5200,Off,141.3,Off
ACS-VHF,V22-654,25K,High,146.5400,146.5400,Off,141.3,Off
ACS-VHF,V23-656,25K,High,146.5600,146.5600,Off,141.3,Off
ACS-VHF,V24-658,25K,High,146.5800,146.5800,Off,141.3,Off
ACS-VHF,V25-748,25K,High,147.4800,147.4800,Off,141.3,Off
ACS-VHF,V26-752,25K,High,147.5200,147.5200,Off,141.3,Off
ACS-VHF,V27-754,25K,High,147.5400,147.5400,Off,141.3,Off
ACS-VHF,V28-756,25K,High,147.5600,147.5600,Off,141.3,Off
ACS-VHF,V29-758,25K,High,147.5800,147.5800,Off,141.3,Off
ACS-VHF,V30-760,25K,High,147.6000,147.6000,Off,141.3,Off
ACS-VHF,V41-KCA,25K,High,147.0800,147.6800,103.5,103.5,Off
ACS-VHF,V42-SAR,25K,High,145.1100,144.5100,127.3,127.3,Off
ACS-VHF,V43-LED,25K,High,146.8200,146.2200,103.5,103.5,Off
ACS-VHF,V45-BEA,25K,High,145.3300,144.7300,179.9,179.9,Off
ACS-VHF,V46-MSV,25K,High,146.9000,146.3000,103.5,103.5,Off
ACS-VHF,V47-BLD,25K,High,147.1400,147.7400,Off,123.0,Off
ACS-VHF,V48-BFW,25K,High,147.0600,147.6600,110.9,110.9,Off
ACS-VHF,V51-KRK,25K,High,145.4900,144.8900,Off,103.5,Off
ACS-VHF,V52-RED,25K,High,145.3100,144.7100,103.5,103.5,Off
ACS-VHF,V53-MRC,25K,High,147.1600,147.7600,146.2,146.2,Off
ACS-VHF,V54-ESF,25K,High,147.1000,147.7000,123,123.0,Off
ACS-VHF,V56-MPV,25K,High,147.2600,147.8600,103.5,103.5,Off
ACS-VHF,V57-KNT,25K,High,147.3200,147.9200,103.5,103.5,Off
ACS-VHF,V58-AUB,25K,High,147.2400,147.8400,123,123.0,Off
ACS-VHF,V59-HLN,25K,High,146.6600,146.0600,103.5,103.5,Off
ACS-VHF,V60-FDW,25K,High,147.0400,147.6400,103.5,103.5,Off
ACS-VHF,V61-BTH,25K,High,147.3400,147.9400,Off,100.0,Off
ACS-VHF,V71-SLY,25K,High,146.7800,146.1800,Off,D172,Off
ACS-VHF,V72-SGF,12.5K,High,146.9250,146.3250,156.7,156.7,Off
ACS-VHF,V73-KSD,25K,High,145.4300,144.8300,88.5,88.5,Off
ACS-VHF,V74-PGR,25K,High,145.3700,144.7700,Off,136.5,Off
ACS-VHF,V75-PCP,25K,High,145.4700,144.8700,100,100.0,Off
ACS-VHF,V76-ISL,25K,High,147.2200,147.8200,127.3,127.3,Off
ACS-VHF,V77-GRH,25K,High,145.3900,144.7900,Off,118.8,Off
ACS-VHF,V78-KCR,25K,High,147.3600,147.9600,Off,131.8,Off
ACS-VHF,V81-GLD,25K,High,146.6200,146.0200,103.5,103.5,Off
ACS-VHF,V83-SLB,25K,High,146.4750,147.4750,Off,110.9,Off
ACS-VHF,V84-SMP,25K,High,147.3600,147.9600,Off,141.3,Off
ACS-VHF,V85-EBG,25K,High,146.7200,146.1200,Off,131.8,Off
ACS-VHF,V86-LAR,25K,High,146.8400,146.2400,Off,CSQ,Off
ACS-VHF,V87-SIS,25K,High,147.3000,147.9000,88.5,88.5,Off
ACS-VHF,V88-BEL,25K,High,145.1700,144.5700,103.5,103.5,Off
ACS-UHF,U01-CLM,25K,High,444.5500,449.5500,141.3,141.3,Off
ACS-UHF,U02-CLO,25K,High,444.5500,444.5500,Off,141.3,Off
ACS-UHF,U03-BH1,25K,High,440.5250,445.5250,141.3,141.3,Off
ACS-UHF,U04-BH2,25K,High,442.3000,447.3000,141.3,141.3,Off
ACS-UHF,U05-CH1,25K,High,443.0250,448.0250,141.3,141.3,Off
ACS-UHF,U06-CH2,25K,High,442.8750,447.8750,141.3,141.3,Off
ACS-UHF,U07-MAG,25K,High,443.4750,448.4750,141.3,141.3,Off
ACS-UHF,U08-MPL,25K,High,443.6500,448.6500,141.3,141.3,Off
ACS-UHF,U09-LFP,25K,High,440.6000,445.6000,141.3,141.3,Off
ACS-UHF,U10-QA1,25K,High,444.7000,449.7000,103.5,103.5,Off
ACS-UHF,U11-WSE,25K,High,441.8000,446.8000,141.3,141.3,Off
ACS-UHF,U12-SSC,25K,High,443.3750,448.3750,103.5,103.5,Off
ACS-UHF,U13-WCR,25K,High,443.2000,448.2000,141.3,141.3,Off
ACS-UHF,U14-QA2,25K,High,444.4250,449.4250,141.3,141.3,Off
ACS-UHF,U15-CH3,25K,High,444.3750,449.3750,88.5,88.5,Off
ACS-UHF,U16-CH4,25K,High,443.5250,448.5250,110.9,110.9,Off
ACS-UHF,U21-580,25K,High,445.8000,445.8000,Off,141.3,Off
ACS-UHF,U22-582,25K,High,445.8250,445.8250,Off,141.3,Off
ACS-UHF,U23-585,25K,High,445.8500,445.8500,Off,141.3,Off
ACS-UHF,U24-587,25K,High,445.8750,445.8750,Off,141.3,Off
ACS-UHF,U25-559,25K,High,445.9000,445.9000,Off,141.3,Off
ACS-UHF,U26-597,25K,High,445.9750,445.9750,Off,141.3,Off
ACS-UHF,U27-600,25K,High,446.0000,446.0000,Off,141.3,Off
ACS-UHF,U31-P1A,12.5K,High,440.0000,445.0000,Off,103.5,Off
ACS-UHF,U32-P1B,12.5K,High,440.0000,445.0000,Off,123.0,Off
ACS-UHF,U33-P1C,12.5K,High,440.0000,445.0000,Off,141.3,Off
