Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
ACS UHF,U01 Columbia,25K,High,444.55,449.55,141.3,141.3,Off
ACS UHF,U02 ClmbiaOut,25K,High,444.55,444.55,Off,141.3,Off
ACS UHF,U03 Beacon1,25K,High,440.525,445.525,141.3,141.3,Off
ACS UHF,U04 Beacon2,25K,High,442.3,447.3,141.3,141.3,Off
ACS UHF,U05 CapHill1,25K,High,443.025,448.025,141.3,141.3,Off
ACS UHF,U06 CapHill2,25K,High,442.875,447.875,141.3,141.3,Off
ACS UHF,U07 Magnolia,25K,High,443.475,448.475,141.3,141.3,Off
ACS UHF,U08 Maple Leaf,25K,High,443.65,448.65,141.3,141.3,Off
ACS UHF,U09 LFP,25K,High,440.6,445.6,141.3,141.3,Off
ACS UHF,U10 QueenAnne1,25K,High,444.7,449.7,103.5,103.5,Off
ACS UHF,U11 West Sea,25K,High,441.8,446.8,141.3,141.3,Off
ACS UHF,U12 SSC,25K,High,443.375,448.375,103.5,103.5,Off
ACS UHF,U13 Westcrest,25K,High,443.2,448.2,141.3,141.3,Off
ACS UHF,U14 QueenAnne2,25K,High,444.425,449.425,141.3,141.3,Off
ACS UHF,U15 CapHill3,25K,High,444.375,449.375,88.5,88.5,Off
ACS UHF,U15 CapHill4,25K,High,443.525,448.525,110.9,110.9,Off
ACS UHF,U17 Portable1,25K,High,440,445,141.3,141.3,Off
ACS UHF,U18 Portable2,25K,High,443,448,141.3,141.3,Off
ACS UHF,U21 445.800,25K,High,445.8,445.8,Off,141.3,Off
ACS UHF,U22 445.825,25K,High,445.825,445.825,Off,141.3,Off
ACS UHF,U23 445.850,25K,High,445.85,445.85,Off,141.3,Off
ACS UHF,U24 445.875,25K,High,445.875,445.875,Off,141.3,Off
ACS UHF,U25 445.900,25K,High,445.9,445.9,Off,141.3,Off
ACS UHF,U25a445.950,25K,High,445.95,445.95,Off,141.3,Off
ACS UHF,U26 445.975,25K,High,445.975,445.975,Off,141.3,Off
ACS UHF,U27 446.000,25K,High,446,446,Off,141.3,Off
ACS UHF,U28 XB U,25K,High,440.025,440.025,Off,141.3,Off
ACS UHF,U41 WAEMD CP,25K,High,444.95,449.95,Off,118.8,Off
ACS UHF,U42 MST VAMC,25K,High,443.55,448.55,103.5,103.5,Off
ACS UHF,U43 MST UWMC,25K,High,444.825,449.825,Off,103.5,Off
