Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,FRS/GMRS 1,462.5625,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
2,FRS/GMRS 2,462.5875,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
3,FRS/GMRS 3,462.6125,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
4,FRS/GMRS 4,462.6375,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
5,FRS/GMRS 5,462.6625,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
6,FRS/GMRS 6,462.6875,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
7,FRS/GMRS 7,462.7125,,0,,88.5,88.5,23,NN,23,Tone->Tone,FM,5,,5.0W,,,,,
8,FRS/GMRS 8,467.5625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,0.5W,,,,,
9,FRS/GMRS 9,467.5875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,0.5W,,,,,
10,FRS/GMRS 10,467.6125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,0.5W,,,,,
11,FRS/GMRS 11,467.6375,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,0.5W,,,,,
12,FRS/GMRS 12,467.6625,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,0.5W,,,,,
13,FRS/GMRS 13,467.6875,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,0.5W,,,,,
14,FRS/GMRS 14,467.7125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,0.5W,,,,,
15,P-Elk Repeater,462.6,+,5,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/10838: Elk,,,,
16,INLAND EMPIRE ARBORCREST 625,462.625,+,5,TSQL,100,100,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/4292: Spokane,,,,
17,INLAND EMPIRE KRELL 675,462.675,+,5,TSQL,77,77,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/5418: Spokane,,,,
18,Liberty Lake,462.55,+,5,TSQL,77,77,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/7561: Liberty Lake,,,,
19,Loon Lake ERC,462.575,+,5,TSQL,141.3,141.3,23,NN,23,Tone->Tone,FM,5,,5.0W,https://mygmrs.com/repeater/4221: Loon Lake,,,,
